High price,Low price,High price all time,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,MACD,MACD Signal,MACD Signal Previous Day,Current Price,t_1_price_predicted,t_1_price_actual,error,t_2_price,growth,score,Graham,Altman Z Score,Piotroski score
364.0,187.5,364.0,294.25,287.67,293.72,287.47,6.92,7.88,8.12,308.0,333.4412589842718,373.06,0.0,418.9803362269543,36.03257669706306,36.03257669706306,62.636989870203685,12.73,7.0
5000.0,1595.5,5000.0,3731.76,3221.52,3702.48,3209.18,268.77,208.86,193.89,4539.95,4911.459990025332,5324.89,0.0,5943.477255486003,30.91503773138478,30.91503773138478,716.654125781747,14.61,3.0
1510.0,239.4,1510.0,984.76,659.0,972.9,652.8,143.91,140.66,139.85,1291.0,1440.546209867147,1507.1,0.0,1724.668475347375,33.59167121203525,33.59167121203525,135.19753048780143,26.73,4.0
3049.7,142.5,3049.7,1984.06,1099.72,1956.71,1084.1,268.85,267.49,267.15,2640.0,2879.0535642402547,3220.27,0.0,3641.9764100996354,37.95365189771346,37.95365189771346,187.1185760420381,20.95,6.0
2427.9,277.55,2427.9,1748.67,1089.9,1729.63,1078.59,157.51,166.09,168.23,2267.25,2488.1462296082013,2678.02,0.0,3028.215193010855,33.56335618087352,33.56335618087352,364.504518490512,9.42,6.0
298.6,142.0,298.6,211.42,234.4,208.44,233.89,18.42,8.6,6.15,298.6,324.633032085274,349.21,0.0,391.17365150199936,31.002562458807542,31.002562458807542,53.57847982165974,11.64,4.0
517.0,191.4,517.0,397.7,350.83,394.17,349.49,26.84,19.21,17.31,488.05,519.405028537018,579.24,0.0,639.2991025265691,30.990493295065885,30.990493295065885,142.70793776100894,10.75,9.0
1072.0,361.8,1072.0,868.5,674.41,865.15,671.64,34.15,42.04,44.01,957.2,1028.23023772526,1122.99,0.0,1246.206315439129,30.1928871123202,30.1928871123202,480.7383578933556,10.78,8.0
2760.0,1376.5,2760.0,2395.22,2026.21,2384.78,2019.93,84.5,95.74,98.55,2658.6,2878.236088380105,3098.52,0.0,3456.6306604766446,30.01695104478465,30.01695104478465,286.7595120479877,22.86,7.0
727.85,169.35,727.85,564.81,406.12,559.73,403.27,42.44,47.43,48.68,696.85,779.3700637666733,795.95,0.0,909.6639856042052,30.53942535756693,30.53942535756693,84.51722013885691,19.45,6.0
1712.55,161.2,1712.55,1181.3,854.57,1162.94,846.77,149.83,107.08,96.39,1712.55,1851.0755800942416,2098.89,0.0,2359.024659435433,37.74924290884547,37.74924290884547,346.8987478357338,9.42,4.0
468.0,142.05,468.0,325.21,248.57,320.16,246.55,36.53,26.66,24.19,459.95,477.8689864135364,562.7,0.0,612.9618266638532,33.26705656350761,33.26705656350761,28.24177756445228,63.03,8.0
2769.1,738.6,2769.1,2224.94,1615.77,2209.85,1605.93,125.65,134.89,137.2,2756.7,3018.374794129334,3286.38,0.0,3714.783316015348,34.754718178087856,34.754718178087856,150.76679010975857,43.19,4.0
3848.4,576.55,3848.4,2551.09,1652.25,2505.64,1632.02,307.12,238.51,221.35,3848.4,4059.7414168454975,4592.14,0.0,5037.590068989251,30.900895670648875,30.900895670648875,774.7706730058902,11.19,6.0
9756.85,2278.5,9756.85,6578.88,5447.97,6583.14,5437.65,16.52,15.83,15.66,6573.5,6341.249817864575,8334.75,0.0,8656.892298554312,31.69380540890412,31.69380540890412,3184.2558287219954,2.95,8.0
1985.0,1462.2,2377.0,1765.35,1731.44,1759.94,1729.77,65.99,65.74,65.68,1904.0,2083.4618847485285,2274.9,0.0,2571.1108818175558,35.03733622991362,35.03733622991362,408.5173925305996,13.81,5.0
1251.0,313.5,1251.0,893.59,658.35,887.9,654.58,77.61,96.55,101.28,1033.0,1182.099921507328,1204.29,0.0,1407.3072461445713,36.23497058514727,36.23497058514727,167.21414413858656,9.34,4.0
2199.0,1186.1,2787.0,1626.48,1488.91,1611.31,1483.79,108.38,91.19,86.9,1999.95,2129.892578750464,2367.78,0.0,2613.50522526408,30.67852822640965,30.67852822640965,334.55011844266323,9.2,9.0
